Date_Time,SnowGain,AGDTemp,AGDHumid,AGDWindSpeed,AGDWindDir,AGDWindGust
2023-02-08 04:00:00+00:00,0.0,16.325,78.905,1.9900000000000002,68.075,6.43
2023-02-08 05:00:00+00:00,0.0,16.333333333333332,73.94666666666667,2.1466666666666665,170.985,7.74
2023-02-08 06:00:00+00:00,0.0,16.68166666666667,72.87,1.49,80.42500000000001,6.21
2023-02-08 07:00:00+00:00,0.0,16.261666666666667,73.84666666666666,3.2366666666666664,171.85,8.04
2023-02-08 08:00:00+00:00,0.0,17.415,70.17333333333333,3.408333333333333,243.75,9.13
2023-02-08 09:00:00+00:00,0.0,18.978333333333335,59.663333333333334,4.31,288.15,11.62
2023-02-08 10:00:00+00:00,0.0,20.213333333333335,59.751666666666665,4.246666666666667,282.15,9.49
2023-02-08 11:00:00+00:00,0.0,21.255,63.05833333333334,4.4366666666666665,298.15,10.52
2023-02-08 12:00:00+00:00,0.0,21.683333333333334,64.12,5.26,266.85,11.1
2023-02-08 13:00:00+00:00,0.0,20.168333333333333,66.865,5.668333333333333,274.55,10.38
2023-02-08 14:00:00+00:00,0.0,21.32166666666667,66.32833333333333,8.991666666666667,289.9,14.98
2023-02-08 15:00:00+00:00,0.0,21.866666666666664,68.095,8.511666666666667,302.0,15.78
2023-02-08 16:00:00+00:00,0.0,23.735,67.50166666666667,8.27,285.1,22.36
2023-02-08 17:00:00+00:00,0.0,24.215,69.68166666666667,12.746666666666664,263.95,25.65
2023-02-08 18:00:00+00:00,0.0,24.775000000000002,70.83333333333333,15.604999999999999,262.95,31.2
2023-02-08 19:00:00+00:00,0.0,24.798333333333332,68.38,17.985,264.95,39.31
2023-02-08 20:00:00+00:00,0.0,23.301666666666666,70.62166666666667,21.0,264.35,38.93
2023-02-08 21:00:00+00:00,0.0,20.765,79.28833333333334,18.175,266.6,40.04
2023-02-08 22:00:00+00:00,0.0,17.903333333333332,90.55,20.121666666666666,251.75,34.2
2023-02-08 23:00:00+00:00,1.0,16.828333333333333,91.28333333333335,14.396666666666667,266.15,36.17
2023-02-09 00:00:00+00:00,2.0999999999999996,13.67,88.64999999999999,14.555,275.1,36.02
2023-02-09 01:00:00+00:00,0.0,12.206666666666665,85.63333333333333,9.903333333333334,277.3,26.81
2023-02-09 02:00:00+00:00,0.20000000000000018,11.56,82.23333333333333,6.156666666666666,146.95,21.12
2023-02-09 03:00:00+00:00,0.0,11.053333333333333,79.40166666666666,5.413333333333333,245.10000000000002,17.76
2023-02-09 04:00:00+00:00,0.0,10.653333333333334,75.11,4.47,39.175,17.1
2023-02-09 05:00:00+00:00,0.0,9.833333333333334,71.34833333333334,4.1000000000000005,239.85000000000002,13.59
2023-02-09 06:00:00+00:00,0.0,7.831666666666667,79.08166666666666,4.301666666666667,311.55,11.62
2023-02-09 07:00:00+00:00,1.2,3.8016666666666663,75.64333333333333,3.1183333333333336,318.0,10.23
2023-02-09 08:00:00+00:00,0.0,2.0483333333333333,77.01333333333334,1.7133333333333332,40.485,6.13
2023-02-09 09:00:00+00:00,1.1,1.93,76.23333333333333,2.7833333333333337,58.58,8.77
2023-02-09 10:00:00+00:00,0.0,1.9833333333333334,74.26166666666667,2.6649999999999996,54.41,6.43
2023-02-09 11:00:00+00:00,0.9,3.1,68.64666666666666,4.448333333333333,41.760000000000005,8.04
2023-02-09 12:00:00+00:00,1.3000000000000003,2.6999999999999997,69.75166666666667,3.705,56.41,8.91
2023-02-09 13:00:00+00:00,0.0,3.7550000000000003,68.34333333333333,5.088333333333334,48.545,8.18
2023-02-09 14:00:00+00:00,0.0,3.4966666666666666,66.145,3.7066666666666666,44.295,7.96
2023-02-09 15:00:00+00:00,0.0,4.795,63.195,2.348333333333333,59.2,5.85
2023-02-09 16:00:00+00:00,0.7,12.996666666666668,51.096666666666664,3.546666666666667,91.1,8.4
2023-02-09 17:00:00+00:00,0.0,18.555,37.10666666666666,5.955000000000001,119.65,12.64
2023-02-09 18:00:00+00:00,0.0,19.981666666666666,46.001666666666665,3.4916666666666667,243.55,9.42
2023-02-09 19:00:00+00:00,0.0,18.918333333333333,55.998333333333335,7.653333333333333,261.0,12.28
