Date_Time,KPVUPress,KPVUTemp,KPVUHumid,KPVUWind,KPVUCloud3,KPVUCloud1,KPVUCloud2,KPVUVis
2023-01-15 23:00:00+00:00,29.607857142857142,38.21,84.0657142857143,5.179285714285714,566.5,277.35714285714283,352.3636363636364,10.0
2023-01-16 00:00:00+00:00,29.631428571428568,37.37428571428571,88.19642857142857,1.5607142857142857,704.0,515.7857142857143,544.5714285714286,10.0
2023-01-16 01:00:00+00:00,29.646923076923073,37.37230769230769,87.32076923076923,1.7692307692307692,1.0,646.3846153846154,798.4444444444445,10.0
2023-01-16 02:00:00+00:00,29.65857142857143,35.56142857142857,93.0307142857143,1.1500000000000001,928.6666666666666,198.64285714285714,657.3076923076923,10.0
2023-01-16 03:00:00+00:00,29.676428571428573,35.56142857142857,93.27285714285713,1.2321428571428572,726.8461538461538,235.64285714285714,457.7142857142857,10.0
2023-01-16 04:00:00+00:00,29.689285714285717,35.754285714285714,93.5307142857143,2.3000000000000003,504.0,140.0,283.75,10.0
2023-01-16 05:00:00+00:00,29.694285714285716,35.56142857142857,93.0307142857143,3.039285714285714,1.0,117.92857142857143,298.0,10.0
2023-01-16 06:00:00+00:00,29.699999999999996,35.33692307692308,93.01923076923077,6.374615384615385,1.0,104.61538461538461,130.0,9.923076923076923
2023-01-16 07:00:00+00:00,29.7,33.751999999999995,91.18466666666667,4.0633333333333335,1.0,56.06666666666667,124.0,4.8
2023-01-16 08:00:00+00:00,29.7,32.48,91.416,2.5300000000000002,1.0,41.8,164.0,3.4
2023-01-16 09:00:00+00:00,29.704285714285714,32.0,93.15714285714284,0.0,1.0,33.785714285714285,124.0,4.107142857142857
2023-01-16 10:00:00+00:00,29.71,32.0,92.96,1.58125,326.85714285714283,100.5,218.6875,9.3125
2023-01-16 11:00:00+00:00,29.70285714285714,33.709999999999994,87.12625,0.7392857142857144,537.5714285714286,193.57142857142858,348.64285714285717,10.0
2023-01-16 12:00:00+00:00,29.70230769230769,32.69230769230769,90.67999999999999,0.5307692307692308,762.3333333333334,419.9230769230769,654.0909090909091,10.0
2023-01-16 13:00:00+00:00,29.699999999999996,31.307692307692307,95.88000000000001,1.9461538461538461,1.0,1011.0769230769231,1362.8,10.0
2023-01-16 14:00:00+00:00,29.699999999999996,30.80923076923077,97.5576923076923,3.5399999999999996,2004.0,971.9230769230769,1103.25,9.846153846153847
2023-01-16 15:00:00+00:00,29.69,31.307692307692307,94.78923076923077,0.0,1053.0,653.8461538461538,957.0,9.923076923076923
2023-01-16 16:00:00+00:00,29.698461538461537,32.636923076923075,90.86538461538461,7.259230769230769,554.0,537.3076923076923,515.6,10.0
2023-01-16 17:00:00+00:00,29.698461538461537,33.81384615384615,90.4530769230769,8.588461538461539,1.0,439.53846153846155,529.7142857142857,10.0
2023-01-16 18:00:00+00:00,29.673846153846153,35.57230769230769,88.07692307692308,5.310769230769231,754.0,486.61538461538464,608.1818181818181,10.0
2023-01-16 19:00:00+00:00,29.635384615384616,37.441538461538464,76.13846153846154,4.688461538461538,654.0,415.61538461538464,546.5555555555555,10.0
2023-01-16 20:00:00+00:00,29.606923076923074,37.441538461538464,77.85076923076923,3.893076923076923,474.0,458.6923076923077,440.75,10.0
2023-01-16 21:00:00+00:00,29.604285714285712,35.677142857142854,82.86785714285713,4.027857142857143,440.6666666666667,211.0,354.0,5.857142857142857
2023-01-16 22:00:00+00:00,29.598125,33.811249999999994,90.02,2.803125,504.0,59.0,158.14285714285714,2.015625
2023-01-16 23:00:00+00:00,29.59,33.81384615384615,98.3376923076923,3.626923076923077,1.0,92.0,504.0,10.0
2023-01-17 00:00:00+00:00,29.588461538461537,33.74461538461538,96.70692307692308,3.3623076923076924,728.5,444.9230769230769,558.8888888888889,10.0
2023-01-17 01:00:00+00:00,29.590769230769233,33.81384615384615,92.49923076923076,4.601538461538461,728.5,304.46153846153845,545.8461538461538,10.0
2023-01-17 02:00:00+00:00,29.583076923076923,33.81384615384615,92.96846153846153,5.576153846153845,823.6,384.7692307692308,599.3846153846154,10.0
2023-01-17 03:00:00+00:00,29.593125,33.754999999999995,91.354375,7.4825,522.1818181818181,233.4375,297.6923076923077,8.5625
2023-01-17 04:00:00+00:00,29.592857142857145,33.748571428571424,88.54357142857144,5.341428571428572,483.92857142857144,174.85714285714286,302.2142857142857,9.928571428571429
2023-01-17 05:00:00+00:00,29.58857142857143,33.81285714285714,92.03785714285713,3.6142857142857143,724.8571428571429,330.5,529.8333333333334,10.0
2023-01-17 06:00:00+00:00,29.587692307692308,34.035384615384615,94.58692307692307,6.463846153846154,599.4545454545455,376.46153846153845,478.46153846153845,10.0
2023-01-17 07:00:00+00:00,29.597333333333335,34.832,92.994,6.139333333333334,425.8181818181818,190.86666666666667,278.6,9.2
2023-01-17 08:00:00+00:00,29.6,32.9,89.67142857142858,8.06,328.2857142857143,131.35714285714286,222.41666666666666,4.5
2023-01-17 09:00:00+00:00,29.608461538461537,32.36,91.8623076923077,4.60125,264.0,100.07692307692308,253.9090909090909,8.038461538461538
2023-01-17 10:00:00+00:00,29.60571428571429,33.81285714285714,89.235,4.354285714285714,474.0,367.2857142857143,447.22222222222223,10.0
2023-01-17 11:00:00+00:00,29.598333333333333,33.83,92.90833333333332,2.4916666666666667,704.0,453.1666666666667,541.25,10.0
2023-01-17 12:00:00+00:00,29.6,33.08,91.65,3.45,1.0,603.0,804.0,10.0
2023-01-17 13:00:00+00:00,29.62,33.08,95.75,0.0,1.0,654.0,1.0,10.0
2023-01-17 14:00:00+00:00,29.63,33.08,95.75,0.0,1.0,453.0,504.0,10.0
2023-01-17 15:00:00+00:00,29.65,33.98,96.46,3.45,1.0,352.0,504.0,10.0
2023-01-17 16:00:00+00:00,29.66,35.96,92.42,0.0,1.0,554.0,1.0,10.0
2023-01-17 17:00:00+00:00,29.67,37.04,81.79,4.6,1.0,704.0,1.0,10.0
2023-01-17 18:00:00+00:00,29.65,39.92,76.31,5.75,1.0,553.0,753.0,10.0
2023-01-17 19:00:00+00:00,29.64,37.94,82.45,5.75,754.0,346.0,553.0,10.0
2023-01-17 20:00:00+00:00,29.62,37.94,75.57,6.91,1.0,554.0,1.0,10.0
2023-01-17 21:00:00+00:00,29.64,37.94,82.45,9.21,1.0,353.0,454.0,10.0
2023-01-17 22:00:00+00:00,29.67,35.06,92.39,14.96,354.0,162.0,223.0,10.0
2023-01-17 23:00:00+00:00,29.685000000000002,33.98,93.485,11.74,258.0,59.666666666666664,135.0,3.0
2023-01-18 00:00:00+00:00,29.700000000000003,33.62,89.4075,11.74,314.0,52.75,208.25,4.3125
2023-01-18 01:00:00+00:00,29.73,33.08,91.65,11.74,1.0,232.0,314.0,10.0
2023-01-18 02:00:00+00:00,29.74,33.199999999999996,88.41333333333334,11.74,384.0,166.0,256.6666666666667,10.0
2023-01-18 03:00:00+00:00,29.77,32.0,88.3,11.74,1.0,194.0,1.0,10.0
2023-01-18 04:00:00+00:00,29.79,30.92,88.9,11.74,1.0,234.0,1.0,10.0
2023-01-18 05:00:00+00:00,29.81,30.560000000000002,85.64500000000001,11.74,1.0,314.0,1.0,10.0
2023-01-18 06:00:00+00:00,29.83,30.92,85.03,11.74,1.0,354.0,1.0,10.0
2023-01-18 07:00:00+00:00,29.845,30.560000000000002,85.64500000000001,18.41,1.0,233.0,364.0,10.0
2023-01-18 08:00:00+00:00,29.88,30.02,84.97,18.41,1.0,204.0,1.0,10.0
2023-01-18 09:00:00+00:00,29.905,29.57,85.58000000000001,21.285,1.0,273.0,344.0,9.0
2023-01-18 10:00:00+00:00,29.93,30.02,81.24,16.11,1.0,363.0,424.0,10.0
